iter	Logloss
0	0.6885365727
1	0.6814490374
2	0.6760508163
3	0.6712675806
4	0.6653107384
5	0.6598695361
6	0.6558455969
7	0.6515198851
8	0.6471426085
9	0.643177171
10	0.6392732621
11	0.6349834668
12	0.6297353017
13	0.6257013912
14	0.6228797191
15	0.6192838617
16	0.6159292905
17	0.6123541351
18	0.6087681551
19	0.6059511657
20	0.6036527634
21	0.600310318
22	0.5964854306
23	0.593478441
24	0.5905832234
25	0.5877746714
26	0.5846400556
27	0.5817497927
28	0.578604898
29	0.5754786402
30	0.5716934787
31	0.5687822232
32	0.5666806114
33	0.5645686462
34	0.5617470389
35	0.5595995724
36	0.5577271786
37	0.5560825205
38	0.553820805
39	0.5512437161
40	0.5483143522
41	0.5464379241
42	0.5445972791
43	0.5427703824
44	0.5408068138
45	0.5391001269
46	0.5374345193
47	0.5350104343
48	0.5330864536
49	0.5301812237
50	0.5278030187
51	0.5259231153
52	0.5241633555
53	0.5224509848
54	0.5197940724
55	0.5181662036
56	0.5173870954
57	0.5155455461
58	0.5142109889
59	0.5133169618
60	0.5113435268
61	0.5102042803
62	0.5081524393
63	0.5066715954
64	0.5052621834
65	0.5041595646
66	0.5031969708
67	0.5018422656
68	0.5007598489
69	0.4987456487
70	0.496615879
71	0.4951923605
72	0.493428913
73	0.4914585142
74	0.4891504516
75	0.4876852627
76	0.4866735499
77	0.4846049826
78	0.4834460461
79	0.4810500624
80	0.4795619637
81	0.4778341661
82	0.4768983611
83	0.4756576479
84	0.4750192573
85	0.4728593341
86	0.4713269741
87	0.4702002861
88	0.4701246894
89	0.4687560569
90	0.4665682803
91	0.4654815874
92	0.4647315791
93	0.4638831684
94	0.4620717646
95	0.4609688173
96	0.4598000368
97	0.4577814825
98	0.4566317926
99	0.4545690292
100	0.4539922037
101	0.4529063177
102	0.4520020419
103	0.4508768771
104	0.4493930666
105	0.4486184186
106	0.447591753
107	0.4471946649
108	0.4462181897
109	0.4450630114
110	0.4435597282
111	0.4426948046
112	0.4411615082
113	0.4401611911
114	0.438337266
115	0.4373746251
116	0.435515897
117	0.4349352992
118	0.4340036821
119	0.4333056907
120	0.432163915
121	0.4312835956
122	0.4301065499
123	0.4293127564
124	0.4288284584
125	0.4283289476
126	0.4277376604
127	0.4264857407
128	0.4255240343
129	0.423493056
130	0.4223377382
131	0.4216184103
132	0.4206088054
