iter	Passed	Remaining
0	1	1800
1	18	9291
2	21	7293
3	25	6300
4	33	6650
5	35	5874
6	37	5321
7	39	4896
8	41	4565
9	44	4362
10	45	4096
11	55	4536
12	87	6669
13	91	6451
14	100	6607
15	105	6505
16	108	6276
17	111	6078
18	114	5907
19	115	5680
20	118	5539
21	128	5712
22	134	5695
23	139	5653
24	152	5939
25	155	5817
26	168	6085
27	171	5948
28	181	6063
29	184	5978
30	197	6175
31	202	6128
32	203	5977
33	206	5872
34	216	5966
35	220	5897
36	222	5785
37	228	5795
38	234	5785
39	239	5747
40	241	5651
41	242	5534
42	244	5431
43	250	5442
44	253	5384
45	255	5288
46	256	5202
47	259	5152
48	262	5089
49	265	5044
50	266	4965
51	269	4911
52	272	4870
53	274	4811
54	276	4751
55	278	4692
56	279	4622
57	284	4623
58	286	4568
59	289	4534
60	292	4501
61	295	4475
62	297	4419
63	299	4378
64	302	4346
65	304	4309
66	306	4271
67	307	4219
68	311	4207
69	314	4175
70	317	4151
71	319	4116
72	321	4082
73	326	4083
74	329	4060
75	331	4034
76	333	3995
77	336	3974
78	338	3944
79	340	3916
80	344	3904
81	346	3879
82	352	3889
83	354	3866
84	355	3830
85	360	3830
86	363	3811
87	367	3809
88	369	3779
89	374	3782
90	376	3760
91	379	3741
92	380	3714
93	382	3688
94	384	3664
95	386	3644
96	390	3631
97	392	3608
98	395	3596
99	397	3578
100	401	3569
101	405	3567
102	407	3549
103	409	3527
104	414	3528
105	416	3516
106	419	3497
107	420	3469
108	426	3483
109	435	3526
110	441	3535
111	443	3517
112	447	3515
113	449	3496
114	452	3481
115	454	3461
116	457	3451
117	459	3437
118	461	3419
119	464	3405
120	467	3393
121	470	3384
122	480	3423
123	493	3488
124	498	3490
125	503	3490
126	506	3478
127	509	3473
128	515	3481
129	520	3481
130	525	3482
131	530	3486
132	535	3488
133	542	3507
134	546	3503
135	550	3495
136	555	3496
137	557	3482
138	568	3523
139	581	3573
140	597	3639
141	603	3645
142	607	3643
143	612	3639
144	618	3644
145	621	3633
146	625	3629
147	629	3626
148	632	3610
149	634	3595
150	637	3586
151	641	3581
152	643	3564
153	646	3549
154	649	3542
155	652	3529
156	655	3521
157	658	3506
158	660	3496
159	662	3479
160	666	3472
161	668	3459
162	671	3448
163	674	3437
164	675	3420
165	677	3405
166	680	3393
167	683	3383
168	687	3379
169	689	3367
170	692	3354
171	693	3338
172	695	3324
173	698	3313
174	700	3301
175	702	3288
176	705	3278
177	707	3267
178	710	3258
179	712	3247
180	716	3240
181	719	3232
182	721	3219
183	723	3207
184	725	3197
185	728	3186
186	730	3175
187	733	3166
188	734	3153
189	737	3145
190	739	3134
191	742	3125
192	745	3115
193	748	3108
194	751	3104
195	754	3094
196	755	3081
197	758	3073
198	763	3072
199	765	3062
200	768	3056
201	771	3049
202	774	3039
203	776	3030
204	778	3020
205	780	3007
206	783	3001
207	788	3003
208	790	2991
209	792	2981
210	795	2972
211	795	2957
212	798	2951
213	801	2942
214	802	2931
215	805	2924
216	807	2914
217	809	2904
218	812	2896
219	814	2886
220	815	2875
221	818	2869
222	821	2864
223	825	2859
224	827	2851
225	829	2841
226	831	2830
227	833	2823
228	835	2814
229	838	2806
230	840	2799
231	847	2805
232	850	2798
233	853	2794
234	857	2791
235	860	2786
236	863	2779
237	865	2769
238	866	2757
239	868	2751
240	871	2744
241	874	2739
242	878	2735
243	880	2729
244	884	2725
245	886	2715
246	887	2707
247	890	2699
248	891	2689
249	893	2681
250	896	2674
251	898	2667
252	900	2659
253	903	2653
254	905	2646
255	909	2644
256	911	2634
257	913	2626
258	915	2620
259	917	2612
260	919	2603
261	920	2593
262	923	2588
263	925	2581
264	927	2573
265	936	2582
266	940	2581
267	942	2573
268	943	2564
269	945	2556
270	947	2549
271	949	2541
272	951	2534
273	953	2527
274	957	2523
275	959	2515
276	961	2508
277	963	2503
278	966	2498
279	969	2492
280	970	2483
281	972	2476
282	975	2472
283	978	2466
284	981	2461
285	983	2454
286	985	2448
287	988	2443
288	991	2439
289	994	2434
290	998	2432
291	1000	2426
292	1002	2419
293	1004	2413
294	1006	2404
295	1008	2398
296	1010	2392
297	1013	2387
298	1014	2379
299	1017	2374
300	1020	2370
301	1022	2363
302	1024	2355
303	1026	2350
304	1029	2344
305	1030	2337
306	1033	2332
307	1035	2326
308	1037	2321
309	1039	2314
310	1041	2307
311	1044	2302
312	1047	2298
313	1049	2292
314	1054	2293
315	1058	2292
316	1061	2286
317	1063	2279
318	1066	2276
319	1070	2273
320	1072	2268
321	1074	2262
322	1076	2256
323	1079	2252
324	1081	2247
325	1084	2241
326	1085	2234
327	1087	2228
328	1089	2221
329	1091	2215
330	1093	2209
