Id,Age,Educ_background,Incumbent,Mar_relationship,Mortgage,Fin_loan,Default,Curt_balance,Prev_result,Num_prev_cont,Elapsed_days,Num_cont,Day,Month,Cont_means,Cont_time,Y
0,42,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,1092,Unknown,0,-1,2,27,July,Mobile,183,0
1,35,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1122,Rejected,0,-1,1,5,May,Mobile,469,0
2,34,JHS_HS_graduate,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,2235,Rejected,1,174,2,20,November,Mobile,244,1
3,33,JHS_HS_graduate,Services,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,43,Unknown,0,-1,8,28,May,Unknown,84,0
4,53,JHS_HS_graduate,Administrator,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1403,Unknown,0,-1,2,20,November,Unknown,369,0
5,29,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,515,Unknown,0,-1,1,17,April,Mobile,64,0
6,45,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1856,Established,1,93,1,12,August,Mobile,968,1
7,47,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-391,Unknown,0,-1,2,21,August,Mobile,148,0
8,33,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Default,-90,Unknown,0,-1,1,26,May,Mobile,271,0
9,34,Associate_Bachelor_and_beyond,Administrator,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,1277,Other,11,167,8,15,May,Mobile,62,0
10,27,JHS_HS_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-156,Unknown,0,-1,4,8,May,Mobile,658,1
11,36,JHS_HS_graduate,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,277,Rejected,11,174,2,4,June,Unknown,224,1
12,47,JHS_HS_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,562,Unknown,0,-1,2,20,August,Mobile,94,0
13,30,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,101,Unknown,0,-1,5,5,July,Mobile,1039,1
14,49,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,15,Unknown,0,-1,4,5,June,Unknown,126,0
15,50,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,869,Unknown,0,-1,2,21,November,Mobile,128,0
16,56,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-10,Unknown,0,-1,1,17,November,Mobile,386,0
17,45,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,24,Rejected,3,358,2,12,May,Mobile,852,0
18,53,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,607,Unknown,0,-1,2,15,May,Unknown,893,0
