iter	RMSE
0	0.3885044612
1	0.3781174852
2	0.367389053
3	0.3578133029
4	0.3486244261
5	0.3392141648
6	0.3303334158
7	0.3220784671
8	0.3143721355
9	0.3071452992
10	0.2991980115
11	0.2922033253
12	0.285856983
13	0.2791945914
14	0.2729795495
15	0.2668270418
16	0.2615277808
17	0.2561826934
18	0.2511422803
19	0.2460698861
20	0.241725429
21	0.236858757
22	0.2327158881
23	0.2286614319
24	0.2242045726
25	0.2203450024
26	0.2164100055
27	0.2125125671
28	0.2093343458
29	0.2059257203
30	0.2028874856
31	0.1995953239
32	0.1964163422
33	0.1934442949
34	0.1907814554
35	0.1881151976
36	0.1854711654
37	0.1827169458
38	0.1801865087
39	0.1779558417
40	0.1757338529
41	0.1736144165
42	0.1714047928
43	0.1694817904
44	0.167469199
45	0.165595593
46	0.1637205501
47	0.1621015619
48	0.1603874018
49	0.1586968875
50	0.1570418667
51	0.1555011109
52	0.1540466923
53	0.1528965685
54	0.15169114
55	0.150328859
56	0.1489722292
57	0.1477506241
58	0.1465929674
59	0.1455105004
60	0.1443825705
61	0.1433468768
62	0.1423520676
63	0.1414636649
64	0.1407891629
65	0.1401057714
66	0.1392628214
67	0.1384708385
68	0.1376677218
69	0.1369079619
70	0.1361967954
71	0.1353166869
72	0.1343945003
73	0.1336948893
74	0.1328379009
75	0.1321476048
76	0.1314519476
77	0.13072688
78	0.1299795516
79	0.1293883141
80	0.1289122957
81	0.1284335635
82	0.1278732575
83	0.1273641004
84	0.1269739606
85	0.1264367935
86	0.1258256034
87	0.1253479319
88	0.1247902923
89	0.1243544974
90	0.1238196075
91	0.1232368
92	0.1227087265
93	0.1222341298
94	0.1218360507
95	0.1212890687
96	0.1208281001
97	0.1204728392
98	0.1200220354
99	0.1195981262
100	0.1191754473
101	0.1187006182
102	0.1182955566
103	0.1179906809
104	0.1176760886
105	0.1172340203
106	0.1167667308
107	0.1165016828
108	0.1162140568
109	0.1159575499
110	0.1156671997
111	0.1153100469
112	0.1149510844
113	0.1146724608
114	0.1143567567
115	0.1140550365
116	0.1137884088
117	0.1135381964
118	0.1131648774
119	0.1128918942
120	0.1124910945
121	0.1121505878
122	0.1116578464
123	0.1113112136
124	0.111081982
125	0.1107563855
126	0.1104034095
127	0.1101952153
128	0.1100910926
129	0.1098641441
130	0.1095815278
131	0.1092731358
132	0.1090401141
133	0.1087050618
134	0.1085732275
135	0.1084237758
136	0.1081524074
137	0.107925609
138	0.1076125074
139	0.1074960375
140	0.1074233273
141	0.1071180238
142	0.1069172588
143	0.1066497298
144	0.1064185976
145	0.1062432827
146	0.1061090512
147	0.1059400588
148	0.1056271826
149	0.1054854221
150	0.105315678
151	0.1051341137
152	0.1048801807
153	0.1046832896
154	0.1043390608
155	0.1041375511
156	0.1039519704
157	0.1038108065
158	0.1037018149
159	0.103531903
160	0.1033391667
161	0.1031955824
162	0.1029737998
163	0.1028392554
164	0.1026520086
165	0.1024587124
166	0.1022359401
167	0.1020903115
168	0.1019370365
169	0.101771728
170	0.1016694668
171	0.1014970534
172	0.1012545284
173	0.1009938036
174	0.1007874149
175	0.1005590384
176	0.1004066046
177	0.100223453
178	0.1001105215
179	0.09992133522
