iter	Passed	Remaining
0	3	3304
1	5	2980
2	8	2720
3	11	2866
4	14	2940
5	18	3009
6	20	2942
7	23	2959
8	25	2858
9	27	2770
10	30	2715
11	32	2685
12	34	2630
13	36	2596
14	38	2547
15	40	2505
16	42	2469
17	44	2440
18	46	2424
19	49	2404
20	50	2368
21	53	2365
22	54	2333
23	56	2302
24	58	2272
25	60	2250
26	62	2238
27	64	2226
28	66	2212
29	68	2203
30	70	2196
31	72	2183
32	74	2184
33	76	2165
34	77	2146
35	79	2127
36	80	2105
37	82	2086
38	84	2070
39	85	2063
40	87	2053
41	89	2045
42	91	2028
43	92	2014
44	94	2006
45	96	1993
46	97	1980
47	99	1967
48	101	1961
49	102	1953
50	104	1941
51	106	1933
52	107	1924
53	109	1912
54	110	1902
55	112	1892
56	113	1883
57	115	1872
58	117	1866
59	118	1857
60	119	1846
61	121	1837
62	122	1826
63	124	1817
64	125	1811
65	127	1807
66	129	1798
67	130	1789
68	132	1782
69	133	1779
70	135	1772
71	137	1765
72	138	1758
73	140	1752
74	142	1755
75	144	1751
76	145	1746
77	147	1740
78	148	1736
79	150	1732
80	152	1725
81	153	1718
82	154	1711
83	156	1705
84	157	1700
85	159	1697
86	161	1691
87	162	1685
88	164	1679
89	165	1676
90	167	1669
91	168	1664
92	169	1657
93	171	1652
94	172	1647
95	174	1643
96	176	1639
97	177	1636
98	179	1632
99	181	1633
100	183	1633
101	185	1631
102	186	1628
103	188	1625
104	190	1624
105	192	1621
106	193	1619
107	196	1618
108	197	1615
109	198	1609
110	200	1605
111	201	1599
112	203	1594
113	204	1590
114	206	1587
115	207	1583
116	209	1581
117	211	1580
118	212	1576
119	214	1571
120	215	1568
121	217	1563
122	218	1559
123	220	1556
124	221	1553
125	223	1551
126	225	1548
127	227	1548
128	228	1545
129	230	1541
130	231	1538
131	233	1534
132	234	1531
133	236	1529
134	238	1526
135	239	1523
136	241	1520
137	242	1517
138	244	1515
139	246	1512
140	247	1509
141	249	1506
142	250	1502
143	252	1499
144	253	1496
145	255	1493
146	256	1490
147	258	1488
148	260	1486
149	261	1484
150	263	1480
151	264	1477
152	266	1473
153	267	1470
154	269	1467
155	270	1465
156	272	1462
157	273	1459
158	275	1459
159	277	1458
160	279	1458
161	281	1455
162	282	1453
163	284	1451
164	286	1449
165	288	1447
166	289	1443
167	290	1440
168	292	1439
169	294	1436
170	295	1433
171	297	1430
172	298	1426
173	300	1424
174	301	1421
175	302	1418
176	304	1415
177	305	1412
178	307	1410
179	309	1407
180	310	1404
181	312	1403
182	313	1400
183	315	1397
184	316	1395
185	318	1393
186	319	1390
187	321	1387
188	322	1384
189	324	1383
190	325	1380
191	327	1377
192	328	1375
193	330	1372
194	331	1370
195	333	1368
196	334	1365
197	336	1362
198	337	1359
199	339	1358
200	341	1355
201	342	1353
202	344	1350
203	345	1348
204	347	1346
205	349	1345
206	350	1344
207	352	1341
208	353	1338
209	355	1337
210	357	1335
211	358	1333
212	360	1330
213	361	1328
214	363	1325
215	364	1323
216	366	1321
217	367	1318
218	368	1315
219	370	1313
220	372	1312
221	374	1311
222	375	1309
223	377	1307
224	378	1305
225	380	1303
226	382	1301
227	383	1299
228	385	1296
229	386	1294
230	388	1292
231	389	1290
232	391	1287
233	392	1285
234	394	1282
235	395	1281
